gap_between_6star,LimitedBanner(6+0),SpecialBanner(6),SpecialBanner(1),LimitedBanner(1+0),StandardBanner(1+0)
26,413,267,118,206,107
36,647,288,126,50,103
34,329,370,81,247,18
65,365,264,59,256,129
42,676,448,58,17,237
51,587,447,151,75,4
11,533,345,58,113,15
27,607,478,47,32,74
57,296,401,107,3,63
39,355,314,7,13,28
31,774,579,53,151,16
8,626,408,121,90,161
57,460,551,8,122,134
21,550,312,34,204,5
56,1026,569,18,108,57
32,446,411,54,52,25
33,730,345,59,41,35
57,352,368,28,52,38
52,835,308,55,55,11
24,701,395,86,97,58
59,798,300,165,63,122
55,411,364,27,132,92
35,625,263,6,20,12
10,760,291,61,72,25
55,756,272,159,228,166
14,250,397,54,18,53
2,611,583,114,87,169
68,647,524,58,115,49
39,594,452,18,50,29
58,265,439,187,12,191
58,804,352,37,37,8
63,983,422,22,54,60
25,596,451,104,84,104
2,1066,459,56,53,173
2,414,437,54,133,52
61,443,639,48,112,73
64,308,316,60,85,24
10,703,381,134,13,91
55,350,228,122,134,8
57,529,545,33,13,67
22,510,341,131,40,127
18,419,246,52,52,175
60,521,230,118,46,42
2,667,369,107,62,128
55,476,452,103,273,63
2,501,397,18,90,22
61,399,385,129,309,60
54,562,265,174,440,74
52,715,306,64,41,87
2,1003,402,4,272,60
47,336,466,15,16,121
5,817,606,74,26,81
18,394,421,63,2,11
42,862,250,28,342,35
40,406,256,16,124,123
29,406,210,161,178,42
23,852,456,135,122,176
63,879,414,5,165,48
11,568,409,57,123,168
37,853,280,25,99,123
41,643,244,35,71,50
61,804,276,38,498,90
6,893,307,11,40,60
21,914,338,58,255,124
8,555,422,122,31,118
43,338,401,92,77,12
63,777,367,12,53,57
34,300,291,25,235,35
1,228,336,166,109,70
57,523,307,54,63,39
46,506,369,159,151,119
24,981,284,11,150,135
9,652,321,49,271,37
6,930,408,29,59,59
44,597,286,174,62,3
7,627,472,18,112,19
56,1019,421,8,234,2
32,526,496,60,142,102
20,460,334,104,27,35
62,384,327,173,156,40
49,847,272,53,147,4
6,632,293,73,24,150
4,734,337,24,60,44
62,494,244,91,101,123
29,710,365,8,2,3
62,672,256,67,83,64
8,506,197,127,91,6
53,616,292,175,16,32
57,424,684,43,179,59
69,535,339,128,58,72
5,728,511,63,63,59
45,485,393,22,83,70
49,505,311,60,68,95
26,530,219,74,118,51
58,521,219,87,10,8
32,336,358,60,19,18
53,794,186,121,129,100
18,790,543,81,121,146
29,679,240,11,20,25
12,592,284,35,25,75
43,1094,418,123,2,65
5,679,251,42,54,24
58,1082,477,176,55,45
3,611,309,49,137,20
32,267,349,165,161,71
43,421,406,4,184,69
37,237,287,123,4,31
27,353,478,50,22,146
22,1110,419,90,6,9
6,461,595,60,11,112
19,409,314,124,117,63
58,647,377,118,5,68
58,920,252,12,4,14
58,403,368,57,2,99
22,395,412,35,109,58
50,508,399,70,116,298
9,591,490,39,76,37
60,701,439,119,159,27
35,416,518,135,11,27
3,635,236,37,125,58
1,356,313,59,370,92
2,654,336,3,63,30
2,469,243,19,4,40
30,531,409,2,82,19
51,643,291,102,19,19
12,827,490,35,107,89
41,636,290,40,228,203
5,867,262,4,142,18
27,432,333,150,8,29
59,527,282,45,55,204
23,833,296,123,67,250
59,492,424,3,31,71
66,503,605,64,13,9
65,310,221,6,232,47
52,314,294,32,63,197
31,499,242,59,57,58
26,487,365,72,179,61
42,279,475,59,177,47
27,389,231,70,220,61
1,687,696,95,82,70
44,655,650,51,36,56
5,310,454,8,51,8
53,979,400,18,19,39
29,399,491,100,96,43
20,599,402,146,17,32
55,520,434,25,130,52
14,408,360,75,63,55
65,390,434,65,34,12
60,923,367,24,116,31
12,421,519,45,16,88
60,830,355,20,82,163
3,543,394,71,65,172
58,333,392,69,97,16
4,628,352,31,91,56
8,949,298,146,33,133
7,930,513,9,150,52
54,739,437,112,61,52
23,768,249,63,55,82
13,949,325,68,99,13
6,355,559,14,47,67
25,574,303,99,88,65
52,676,430,58,56,121
58,819,167,175,310,93
8,883,363,124,111,51
26,586,372,37,82,34
3,429,345,27,58,104
10,496,342,27,98,57
21,505,342,58,140,107
5,460,479,92,94,107
51,523,489,30,336,86
65,592,424,40,5,13
16,271,293,19,3,62
45,711,491,19,118,87
15,461,356,89,198,11
35,673,563,162,24,89
59,690,350,42,216,68
53,564,642,18,12,90
37,698,483,29,61,52
58,340,275,150,129,162
17,276,378,55,57,60
7,647,357,164,65,39
47,618,543,87,359,113
7,641,531,71,173,58
64,671,452,9,5,66
40,605,581,47,59,14
35,642,341,194,59,55
52,415,244,4,68,5
58,362,496,58,234,15
43,932,161,61,101,57
20,548,280,47,56,66
1,731,274,61,107,40
53,344,442,70,66,104
58,440,536,56,392,56
51,442,234,8,55,11
35,645,423,39,95,116
30,622,400,43,58,91
10,451,220,32,211,152
12,670,416,52,176,55
53,766,358,55,61,60
2,489,181,12,292,93
3,522,196,31,63,28
32,619,305,88,5,4
58,380,423,163,39,65
13,681,608,55,56,70
31,1481,337,118,59,9
1,756,572,16,61,115
22,417,544,56,163,149
56,811,603,133,34,52
22,867,281,52,41,53
27,788,376,52,54,60
56,570,453,82,58,55
55,283,440,13,38,40
22,444,387,67,32,59
32,988,340,65,4,65
22,527,463,121,202,58
23,608,467,93,8,21
33,509,428,51,173,18
9,596,578,34,76,59
22,331,247,104,34,123
4,576,629,57,61,22
59,605,377,107,60,96
12,700,164,107,43,146
53,784,599,86,113,66
1,1182,519,13,138,92
